Location,Country,Category,Visitors,Rating,Revenue,Accommodation_Available
kuBZRkVsAR,India,Nature,948853,1.32,84388.38,Yes
aHKUXhjzTo,USA,Historical,813627,2.01,802625.6,No
dlrdYtJFTA,Brazil,Nature,508673,1.42,338777.11,Yes
DxmlzdGkHK,Brazil,Historical,623329,1.09,295183.6,Yes
WJCCQlepnz,France,Cultural,124867,1.43,547893.24,No
IKdhVWFKRc,Egypt,Cultural,389886,2.19,943411.34,Yes
TKEPcTbQFY,China,Beach,416933,3.92,744983.22,Yes
TjmJpYuNne,China,Historical,652046,2.5,796172.02,Yes
OcCopAsiyJ,Australia,Cultural,59309,4.1,588988.55,Yes
pXDJPYzTeU,India,Adventure,319068,1.98,239590.44,No
dUCLjskBYA,Australia,Urban,25568,4.2,941320.46,Yes
SqaAyIDkbd,China,Cultural,310407,1.76,152734.82,Yes
JtZrdaVVxi,Australia,Urban,767695,1.06,653154.24,No
fXEdOCMpsk,Egypt,Adventure,797939,2.21,593518.54,No
nsTgMvrDSM,Australia,Nature,677168,3.41,989416.73,Yes
sYmhNXNKxf,Australia,Beach,520163,3.63,65560.3,Yes
VysItOmfmB,Brazil,Historical,418753,2.98,776482.65,No
hFHhWNcgCG,Australia,Nature,412795,1.34,13352.38,Yes
RWukKcGUbw,China,Beach,96904,4.65,836114.32,Yes
eadWeHXmAV,France,Beach,73266,1.15,205619.81,Yes
fBNHCwBuah,India,Cultural,323378,4.36,658536.04,No
gtHGXBHVIR,India,Urban,324508,3.45,322444.49,Yes
aVFdQwRuBy,France,Adventure,362929,4.33,822928.71,No
vvjAkOCSXQ,Egypt,Cultural,3127,1.21,995339.37,No
jrkumjeMsa,France,Urban,788932,3.6,329445.58,Yes
QHzRNEjJep,India,Urban,772355,4.24,761817.3,Yes
SbNLXmzjSk,Australia,Cultural,802317,1.87,111955.55,Yes
baQDNvCiwi,Egypt,Urban,394910,1.17,669396.49,No
qZYrStOMcT,USA,Urban,855061,2.26,444125.87,Yes
YaykNhtAtN,India,Urban,383698,3.67,829888.19,No
XsiJemVocY,USA,Adventure,971260,3.86,355943.11,Yes
TTyDrtSfBS,China,Beach,901898,4.97,646908.09,Yes
DyFxziUbHR,China,Historical,864679,3.9,417381.06,Yes
fKvfNJAVgn,China,Cultural,758884,2.16,800239.58,No
hVfwkrzSrj,China,Beach,115125,1.07,933126.88,No
WqXViwOtLa,USA,Cultural,834414,2.81,373506.21,Yes
IhdYrxBzdF,India,Nature,490207,2.58,267279.35,Yes
YNxOOsnhWp,India,Adventure,805195,2.14,296584.73,No
vWuJdinaxV,India,Historical,472874,3.05,125893.77,Yes
wPlmLpWPVy,Egypt,Nature,536667,2.84,36495.39,No
meHIIvZxuG,USA,Adventure,117254,3.74,742830.59,Yes
fHFOAEauxM,Egypt,Urban,909638,2.25,741764.58,No
FOEgDMzluS,Egypt,Beach,942659,3.4,412987.76,Yes
coNJmYWeUV,Brazil,Beach,290650,2.26,181736.4,No
ZxFcKATAyT,France,Beach,720785,1.16,301370.15,Yes
gSGQJYJgbm,India,Nature,677699,3.24,500007.44,Yes
jXkZCfgjuP,China,Cultural,229338,1.9,363284.19,Yes
OWwgRpSeNj,Egypt,Urban,574387,3.55,925242.19,Yes
YIipqbnKQh,Australia,Urban,232327,2.4,400977.82,No
JjzzqkeuJc,France,Cultural,643212,1.43,252763.47,Yes
AuZcZxlKiy,Australia,Cultural,812741,3.32,897449.41,Yes
JcPYAwztgg,Australia,Historical,825993,3.82,621813.92,No
